language,iso639_3,family,region_group,locality_lambda_per_char,locality_lambda_per_s,half_life_chars,half_life_seconds,memory_cost_bits_char,speech_char_rate_cps,morphology_index,ud_status,D_order,D_structure,ud_morph_feature_density,ud_mean_dependency_distance,locality_lambda_r2,locality_fit_rmse_bits,hilberg_alpha,hilberg_r2,locality_effective_train_chars,locality_effective_valid_chars,locality_eval_positions
Indonesian,ind,Austronesian,South/Southeast Asia,0.722974840192926,6.563092123584813,0.9587431567811942,0.10561289823573936,8.501567702283872,9.077898370340868,0.6517539136763068,loaded,0.2897926527014123,0.5423564053415584,0.3965409481654525,3.117173908374321,0.9221663974712572,0.0921155859661667,1.5109733327987631,-0.2047562423202007,99991,19990,16733
Kyrgyz,kir,Turkic,Central Asia / Middle East / North Africa,0.6310826982736453,5.820801371559536,1.0983460368285807,0.11908105711125375,10.183900375657064,9.223516010631569,0.5148484070611993,loaded,0.49614912140222533,0.5265191097722972,0.758355587925872,1.925332609285908,0.975719242811666,0.062578683095923,1.6474127495662287,-1.2053244762125614,99992,19993,16445
Azerbaijani,aze,Turkic,Central Asia / Middle East / North Africa,0.5082858159728887,4.727375196551479,1.3636956979277912,0.1466241099427821,7.811279539192296,9.300623877341543,,no_matching_treebank,,,,,0.9897689976860492,0.0327057273510969,1.927687501255764,-3.3470205075246007,99998,19996,16799
Hungarian,hun,Uralic,Western Europe,0.4402747995696059,4.527768442087871,1.5743512488962275,0.15308803650752006,9.124908866915815,10.283960032493404,0.8049552148126257,loaded,0.212235657290206,0.875902418723038,0.7274124764455023,3.752908184461986,0.975689835903129,0.0469949549124407,1.7304159688377647,-4.129758875727189,99951,19963,16671
Bulgarian,bul,Indo-European,Eastern Europe,0.5761382643338216,5.471917186611087,1.2030917289644334,0.1266735509550412,10.891560055387362,9.49757640718095,0.6746733628902368,loaded,0.3178008890947406,0.6590662125914841,0.6426882294606758,2.9239078371459244,0.958289624773676,0.0728171443258564,1.4860941902626923,-1.2221511558796871,99994,19995,16787
Belarusian,bel,Indo-European,Eastern Europe,0.5307937087250851,4.431857694622515,1.3058692466887323,0.1564010463154062,10.36272262749556,8.34949175503117,0.5922452034972705,loaded,0.4133902869687698,0.6004304958016,0.6129671782069168,3.104350582455028,0.96336509239377,0.0642488294387145,1.5863124526629968,-2.3347631941365936,99990,19996,16731
Mongolian,mon,Mongolic,Central Asia / Middle East / North Africa,0.5256843901878803,4.58237241145535,1.3185614667238144,0.15126382544272596,9.89426260140575,8.716964964125346,,no_matching_treebank,,,,,0.9939539239651058,0.026989329305349,1.6635215717136382,-2.5384046732466827,99994,19970,16663
Hebrew,heb,Afro-Asiatic,Central Asia / Middle East / North Africa,0.5573102199312034,4.182584363283628,1.2437367121053515,0.16572222347615126,8.433604311049761,7.504948256287032,0.661429627438853,loaded,0.25714118120778906,0.5023499085252574,0.5905605031180955,3.567959377179441,0.9118134307067316,0.1057154086615894,0.731992692965683,0.898209571506769,75271,18991,16753
Malay,msa,Austronesian,South/Southeast Asia,0.6912810896274929,6.293791270444561,1.0026994676412426,0.11013189837021478,8.262647131609935,9.104532678358185,,no_matching_treebank,,,,,0.9362145564469766,0.0858097077941689,1.6298519205212605,-0.5272164202955663,99960,19972,16658
Lithuanian,lit,Indo-European,Eastern Europe,0.4368525183859503,3.908595376632557,1.5866846392941334,0.17733920085560886,10.852392176861214,8.947173730561838,0.5175792366233596,loaded,0.5005424267947398,0.5370215936492797,0.7325622887848702,3.715849889624724,0.9685136501817372,0.0525424198730468,1.5406172975857657,-3.798607429647904,99935,19991,16521
Mandarin Chinese,cmn,Sino-Tibetan,CJK,0.4231986330438061,1.4613523701569493,1.6378767000605985,0.4743189902141817,15.694998614743035,3.45311221741513,,no_matching_treebank,,,,,0.692415343127079,0.4702079561664401,1.0033799982281868,0.4213927068991077,35305,9184,7727
Luo,luo,Nilotic,Sub-Saharan Africa,0.6677780246918539,4.839987620022611,1.0379904023942657,0.14321259370425976,9.116310258349795,7.247898914098023,,no_matching_treebank,,,,,0.9423265476983164,0.0732972007922558,1.362793198493529,-0.1690244952499462,99965,19994,16547
Bosnian,bos,Indo-European,Western Europe,0.4720160673467723,4.285692186741942,1.4684821736178661,0.16173517610626345,9.683258279753948,9.079547251075684,,no_matching_treebank,,,,,0.9435493749477756,0.0631902309232297,1.4830981983465068,-2.725799822934228,99965,19982,16604
Maltese,mlt,Afro-Asiatic,Western Europe,0.416524880766838,3.802462032714877,1.6641195101810848,0.18228904709537705,9.957304275811063,9.129015356092056,0.5684971850573237,loaded,0.3533228725291746,0.4654965193584828,0.003277972027972,3.37197223881969,0.972477586923854,0.0489077168213101,1.5428593402871966,-2.751463905182907,99989,20000,16800
Shona,sna,Niger-Congo,Sub-Saharan Africa,0.8845038718823375,7.308501931433771,0.7836564684390124,0.09484121192863457,8.915894260134966,8.262826386367696,,no_matching_treebank,,,,,0.94057823599884,0.0881257537699071,1.4827176207584831,0.0756217844136477,99976,19989,16887
Uzbek,uzb,Turkic,Central Asia / Middle East / North Africa,0.5209588200411363,5.158373092769904,1.3305220180459034,0.13437321575895247,9.437959758709408,9.901690679433328,0.8266610649564983,loaded,0.17958284456591533,0.8564385462476753,0.460036832412523,2.6476652516676773,0.9555302186255136,0.0685999923606232,1.625982169699935,-2.042155150997573,99984,19993,16838
Greek,ell,Indo-European,Western Europe,0.6405707631134552,7.159574378590774,1.0820774541612634,0.09681402048600243,9.173428107765826,11.176867242257668,0.6204354740950617,loaded,0.33117965264103333,0.5413456494836892,0.6816377640221141,3.440143615974818,0.9676494396309552,0.0698512737521379,1.7600205722436686,-1.5035429255199522,99976,19977,17080
Malayalam,mal,Dravidian,South Asia,0.6696379228413252,7.035873586126663,1.03510741688414,0.0985161504218457,8.95801693204429,10.506981976577595,,no_matching_treebank,,,,,0.9990782528309942,0.013518034221445,1.7770705589862557,-0.4295622771278036,99984,19964,16940
Yoruba,yor,Niger-Congo,Sub-Saharan Africa,0.5146806296370968,3.222416683328696,1.346752025714832,0.21510166085781846,10.24388579833328,6.261002450394983,,no_matching_treebank,,,,,0.9904620669635936,0.0309420605618717,1.4932244602002305,-1.8767642306757804,90418,19954,16324
French,fra,Indo-European,Western Europe,0.5115943022448645,5.245699425443804,1.3548766620707675,0.13213627475449619,9.47769585307834,10.253631446686937,0.7031003683652847,loaded,0.2658238292468038,0.6295084680120051,0.6173580561608354,3.2922437079277964,0.9825511459367728,0.0405736145570416,1.548058603453368,-1.9840214401580267,99995,19977,16963
Portuguese (Brazil),por,Indo-European,Latin America / Caribbean,0.614582327210256,5.1650856509983845,1.1278345469293187,0.1341985839917221,9.15162252665352,8.4042209193421,0.072561915546632,loaded,1.176571518471475,0.09205388973024453,0.449945012556834,3.5593870393725275,0.9622021786399038,0.0639994492781111,1.56044460730351,-1.1552596792938927,99948,19992,16766
